SWAT Model Parameter replacement,,,,,
Value,File,Name,,,
IDX,EXT,PRMTR,Min,Max,Description
1,bsn,SURLAG,1,24,"???? ???? (?? ?? ??????? ??? ??? ??? ??? ?? ???? ??, ???? ???? ????? ??? ?? ????)"
2,bsn,SPCON,0.0001,0.01,"Linear parameter for sediment re-entrainment ??? ???? ?? ??? ??? ?? ??? ???? ???? (??? ??? ??? ??, ??? ?? ?? ??? ?????)"
3,bsn,SPEXP,1,2,Exponent parameter for sediment re-entrainment (?? ???? ??? ? ?? ???? ??? ?????? ????)
4,bsn,ESCO,0.7,1,"Soil evaporation Compensation Factor (?? ?? ?? ??), ???? ?? ??? ?, ???? ?? ???? ????? ??? ?? ?? ???? ????? ?????? ???? ????"
5,bsn,EPCO,0.5,1,"Plant Uptake Compensation Factor (??? ??? ?? ?? ??? ?? ? ?, ??? ?? ???? ???? ??? ???? ??? ? ???)"
6,gw,GW_REVAP,0.02,0.2,Groundwater Revap Coefficient (?? ???? ?? ?? ?? ???? ??? ??? ???? ? ?? ??? ???? ??)
7,gw,REVAPMN,0,500,"Threshold depth of water in the shallow aquifer for revap (shallow aquifer?? ??,?? ?? ??? ???? ?? ??? ?? ??? ??(mm)"
8,gw,GW_DELAY,0,500,"Groundwater Delay Time, ??/??? ?? ?? ???? ???? ????? ?????? ??? ???? (?)"
9,gw,ALPHA_BF,0,1,"Baseflow recession constant, ?? ?? ? ????? ??? ?? ?????? ???? ????"
10,gw,GWQMN,0,5000,"Threshold depth of water in the shallow quifer for return flow, ?? ????? ????? ???? ?? ??? ?? ??(mm)"
11,gw,RCHRG_DP,0,1,"Deep aquifer percolation fraction, ?? ????? ?? recharge??? ?? ??? ?? ?? ??? ??"
12,gw,GW_REVAP,0.02,0.2,
13,gw,REVAPMN,0,500,
14,gw,GW_DELAY,0,500,
15,gw,ALPHA_BF,0,1,
16,gw,GWQMN,0,5000,
17,gw,RCHRG_DP,0,1,
18,gw,GW_REVAP,0.02,0.2,
19,gw,REVAPMN,0,500,
20,gw,GW_DELAY,0,500,
21,gw,ALPHA_BF,0,1,
22,gw,GWQMN,0,5000,
23,gw,RCHRG_DP,0,1,
24,gw,GW_REVAP,0.02,0.2,
25,gw,REVAPMN,0,500,
26,gw,GW_DELAY,0,500,
27,gw,ALPHA_BF,0,1,
28,gw,GWQMN,0,5000,
29,gw,RCHRG_DP,0,1,
30,gw,GW_REVAP,0.02,0.2,
31,gw,REVAPMN,0,500,
32,gw,GW_DELAY,0,500,
33,gw,ALPHA_BF,0,1,
34,gw,GWQMN,0,5000,
35,gw,RCHRG_DP,0,1,
36,gw,GW_REVAP,0.02,0.2,
37,gw,REVAPMN,0,500,
38,gw,GW_DELAY,0,500,
39,gw,ALPHA_BF,0,1,
40,gw,GWQMN,0,5000,
41,gw,RCHRG_DP,0,1,
42,gw,GW_REVAP,0.02,0.2,
43,gw,REVAPMN,0,500,
44,gw,GW_DELAY,0,500,
45,gw,ALPHA_BF,0,1,
46,gw,GWQMN,0,5000,
47,gw,RCHRG_DP,0,1,
48,gw,GW_REVAP,0.02,0.2,
49,gw,REVAPMN,0,500,
50,gw,GW_DELAY,0,500,
51,gw,ALPHA_BF,0,1,
52,gw,GWQMN,0,5000,
53,gw,RCHRG_DP,0,1,
54,gw,GW_REVAP,0.02,0.2,
55,gw,REVAPMN,0,500,
56,gw,GW_DELAY,0,500,
57,gw,ALPHA_BF,0,1,
58,gw,GWQMN,0,5000,
59,gw,RCHRG_DP,0,1,
60,gw,GW_REVAP,0.02,0.2,
61,gw,REVAPMN,0,500,
62,gw,GW_DELAY,0,500,
63,gw,ALPHA_BF,0,1,
64,gw,GWQMN,0,5000,
65,gw,RCHRG_DP,0,1,
66,gw,GW_REVAP,0.02,0.2,
67,gw,REVAPMN,0,500,
68,gw,GW_DELAY,0,500,
69,gw,ALPHA_BF,0,1,
70,gw,GWQMN,0,5000,
71,gw,RCHRG_DP,0,1,
72,gw,GW_REVAP,0.02,0.2,
73,gw,REVAPMN,0,500,
74,gw,GW_DELAY,0,500,
75,gw,ALPHA_BF,0,1,
76,gw,GWQMN,0,5000,
77,gw,RCHRG_DP,0,1,
78,gw,GW_REVAP,0.02,0.2,
79,gw,REVAPMN,0,500,
80,gw,GW_DELAY,0,500,
81,gw,ALPHA_BF,0,1,
82,gw,GWQMN,0,5000,
83,gw,RCHRG_DP,0,1,
84,gw,GW_REVAP,0.02,0.2,
85,gw,REVAPMN,0,500,
86,gw,GW_DELAY,0,500,
87,gw,ALPHA_BF,0,1,
88,gw,GWQMN,0,5000,
89,gw,RCHRG_DP,0,1,
90,gw,GW_REVAP,0.02,0.2,
91,gw,REVAPMN,0,500,
92,gw,GW_DELAY,0,500,
93,gw,ALPHA_BF,0,1,
94,gw,GWQMN,0,5000,
95,gw,RCHRG_DP,0,1,
96,gw,GW_REVAP,0.02,0.2,
97,gw,REVAPMN,0,500,
98,gw,GW_DELAY,0,500,
99,gw,ALPHA_BF,0,1,
100,gw,GWQMN,0,5000,
101,gw,RCHRG_DP,0,1,
102,gw,GW_REVAP,0.02,0.2,
103,gw,REVAPMN,0,500,
104,gw,GW_DELAY,0,500,
105,gw,ALPHA_BF,0,1,
106,gw,GWQMN,0,5000,
107,gw,RCHRG_DP,0,1,
108,gw,GW_REVAP,0.02,0.2,
109,gw,REVAPMN,0,500,
110,gw,GW_DELAY,0,500,
111,gw,ALPHA_BF,0,1,
112,gw,GWQMN,0,5000,
113,gw,RCHRG_DP,0,1,
114,gw,GW_REVAP,0.02,0.2,
115,gw,REVAPMN,0,500,
116,gw,GW_DELAY,0,500,
117,gw,ALPHA_BF,0,1,
118,gw,GWQMN,0,5000,
119,gw,RCHRG_DP,0,1,
120,gw,GW_REVAP,0.02,0.2,
121,gw,REVAPMN,0,500,
122,gw,GW_DELAY,0,500,
123,gw,ALPHA_BF,0,1,
124,gw,GWQMN,0,5000,
125,gw,RCHRG_DP,0,1,
126,gw,GW_REVAP,0.02,0.2,
127,gw,REVAPMN,0,500,
128,gw,GW_DELAY,0,500,
129,gw,ALPHA_BF,0,1,
130,gw,GWQMN,0,5000,
131,gw,RCHRG_DP,0,1,
132,gw,GW_REVAP,0.02,0.2,
133,gw,REVAPMN,0,500,
134,gw,GW_DELAY,0,500,
135,gw,ALPHA_BF,0,1,
136,gw,GWQMN,0,5000,
137,gw,RCHRG_DP,0,1,
138,hru,ESCO,0.7,1,
139,hru,EPCO,0.5,1,
140,hru,OV_N,0.01,0.4,"Manning's n value for overland flow, ?? ??? ???? ?? ????"
141,hru,ESCO,0.7,1,
142,hru,EPCO,0.5,1,
143,hru,ESCO,0.7,1,
144,hru,EPCO,0.5,1,
145,hru,OV_N,0.01,0.4,
146,hru,LAT_SED,0,10,"Sediment concentration in lateral and groundwater flow, ?? ?? ??? ??? ??? ???? ??? ?? ??"
147,hru,ESCO,0.7,1,
148,hru,EPCO,0.5,1,
149,hru,OV_N,0.01,0.4,
150,hru,SLSOIL,10,150,Slope length for lateral subsurface flow
151,hru,ESCO,0.7,1,
152,hru,EPCO,0.5,1,
153,hru,OV_N,0.01,0.4,
154,hru,ESCO,0.7,1,
155,hru,EPCO,0.5,1,
156,hru,OV_N,0.01,0.4,
157,hru,ESCO,0.7,1,
158,hru,EPCO,0.5,1,
159,hru,SLSOIL,10,150,
160,hru,ESCO,0.7,1,
161,hru,EPCO,0.5,1,
162,hru,SLSOIL,10,150,
163,hru,ESCO,0.7,1,
164,hru,EPCO,0.5,1,
165,hru,SLSOIL,10,150,
166,hru,ESCO,0.7,1,
167,hru,EPCO,0.5,1,
168,hru,SLSOIL,10,150,
169,hru,ESCO,0.7,1,
170,hru,EPCO,0.5,1,
171,hru,SLSOIL,10,150,
172,hru,ESCO,0.7,1,
173,hru,EPCO,0.5,1,
174,hru,SLSOIL,10,150,
175,hru,ESCO,0.7,1,
176,hru,EPCO,0.5,1,
177,hru,SLSOIL,10,150,
178,hru,ESCO,0.7,1,
179,hru,EPCO,0.5,1,
180,hru,SLSOIL,10,150,
181,hru,ESCO,0.7,1,
182,hru,EPCO,0.5,1,
183,hru,SLSOIL,10,150,
184,hru,ESCO,0.7,1,
185,hru,EPCO,0.5,1,
186,hru,SLSOIL,10,150,
187,hru,ESCO,0.7,1,
188,hru,EPCO,0.5,1,
189,hru,SLSOIL,10,150,
190,hru,ESCO,0.7,1,
191,hru,EPCO,0.5,1,
192,hru,SLSOIL,10,150,
193,hru,ESCO,0.7,1,
194,hru,EPCO,0.5,1,
195,hru,SLSOIL,10,150,
196,hru,ESCO,0.7,1,
197,hru,EPCO,0.5,1,
198,hru,SLSOIL,10,150,
199,hru,ESCO,0.7,1,
200,hru,EPCO,0.5,1,
201,hru,SLSOIL,10,150,
202,hru,ESCO,0.7,1,
203,hru,EPCO,0.5,1,
204,hru,OV_N,0.01,0.4,
205,hru,SLSOIL,10,150,
206,hru,LAT_SED,0,10,
207,mgt,CN2,0,100,"SCS Curve Number for moisture condition 2, ?"
208,mgt,CN2,0,100,
209,mgt,USLE_P,0,1,
210,mgt,CN2,0,100,
211,mgt,CN2,0,100,
212,mgt,CN2,0,100,
213,mgt,CN2,0,100,
214,mgt,CN2,0,100,
215,mgt,CN2,0,100,
216,mgt,CN2,0,100,
217,mgt,CN2,0,100,
218,mgt,CN2,0,100,
219,mgt,CN2,0,100,
220,mgt,CN2,0,100,
221,mgt,CN2,0,100,
222,mgt,CN2,0,100,
223,mgt,CN2,0,100,
224,mgt,CN2,0,100,
225,mgt,CN2,0,100,
226,mgt,CN2,0,100,
227,mgt,CN2,0,100,
228,mgt,CN2,0,100,
229,mgt,USLE_P,0,1,"USLE? ??? ??,???? ??"
230,rte,CHW2,5,100,?? ? ?? ??? ?? ?? ???? ?
231,rte,CHD,1,15,??? ? ??? ?? ??? ?? ?? ?? (m)
232,rte,CH_L2,0.5,100,??? ? ? ??? ?? (km)
233,rte,CHW2,5,100,??? ? ??? ?? ??? ?? ??
234,rte,CHD,1,15,
235,rte,CH_L2,0.5,100,
236,rte,CH_L2,0.5,100,
